rpid,name,content,like,rcount
2088563548,狮狮吖,十年前撑起华语乐坛的是他们，可没成想十年后的今天还是他们,1882,61
2088570119,肥丹等于肥蛋,"修炼爱情——林俊杰
我好想你——苏打绿
你就不要想起我——田馥甄
哪里都是你——周杰伦
伤心的人别听慢歌——五月天
其实都没有——杨宗纬
稳稳的幸福——陈奕迅
亲爱的路人——刘若英
山丘——李宗盛
致青春——王菲
时间煮雨——郁可唯
手掌心——丁当
被驯服的象——蔡雅健
你还要我怎样——薛之谦
模特——李荣浩
房间——刘瑞琦
董小姐——宋冬野
终于等到你——张靓颖
好好说再见——关诗敏，陶喆
爱一点——王力宏，章子怡
旅程——蔡依林
我的天空——南征北战
你把我灌醉——邓紫棋
我们都被忘了——谢安琪
他不懂——张杰
未完的承诺——罗志祥
被自己绑架——杨丞琳
违章动物——许嵩
七秒钟的记忆——徐良，孙羽幽
不要睡懒觉——汪苏泷
裂缝中的阳光——林俊杰
你怎么可以安心的睡着——戴佩妮
爱着爱着就永远——田馥甄
再遇见——苏打绿
从未到过的地方——王心凌
初爱——杨宗纬
天台的月光——周杰伦
李白——李荣浩
意外——薛之谦
活着——郝云
斑马斑马——宋冬野
走在冷风中——刘思涵
一万个舍不得——庄心妍
我在人民广场吃炸鸡——阿肆
开门大吉——凤凰传奇
施工完毕[打call][打call]",1595,52
2089080898,萌军小伙伴,"“这江湖看似热闹，其实前后二三十年间，真正的高手不过就那么十来个而已。”

既柔弱又生猛。——许嵩",850,5
2088604477,我需要保持清醒,还有6个视频up就要成为年更up了[微笑],306,6
2088528153,Dragon-124,以前的“神”和现在的“神”是两个概念[doge],248,6
2088565160,Dancet,鸡你太美~,5,0
2089047149,芯如雨下,以前的“神”是神仙，现在的“神”是神经,31,0
2095367070,爱撅嘴的兜兜猫,女神 都有了特殊的含义,3,0
2127090919,小紫英呀,借个楼 。。听看不惯后面几首的弹幕的 都是歌 能火肯定是有受众喜欢。。为什么要被嘲讽呢,6,0
2127817350,Dragon-124,"回复 @小紫英呀 :1.有些人感觉自己喜欢的高人一等
2.从众心理，盲目随大流
3.有些歌流传度太高，听腻了",14,0
2995958093,贪狼颛牝,突然想起来gta5也是13年的，7年了[囧],0,0
2088996707,信仰的混合,弹幕看得我很懵，感觉几乎每首歌都有人发贬低性弹幕[灵魂出窍]这年头都那么暴躁负面了吗,172,9
2088604492,3岁的大男孩儿,"我很希望UP可以看到这个，因为我觉得应该不止我一个想UP这样做的
不知道为什么，我想看UP主做包括1992年和以前的一些合集
那些合集里面比如梅艳芳张国荣陈百强黄莺莺啦什么的应该都会有
我相信UP以后可能会做这个
毕竟这种不多花里胡哨的文案以及用歌曲说话的UP已经不多了啊",111,2
