rpid,name,content,like,rcount,sentiment_score,analysis_result
2017961017,肥丹等于肥蛋,"我们的爱——FIR
江南——林俊杰
七里香——周杰伦
波斯猫——SHE
倔强——五月天
欧若拉——张韶涵
第一次爱的人——王心凌
倒带——蔡依林
宁夏——梁静茹
快乐崇拜——张韶涵，潘玮柏
恋爱达人——徐熙娣，罗志祥
海阔天空——信乐团
红颜——胡彦斌
香草吧噗——南拳妈妈
我也很想他——孙燕姿
夏天的风——温岚
forever love ——王力宏
明明很爱你——品冠，梁静茹
小城大事——杨千嬅
独立——蜜雪薇琪
最初的梦想——范玮琪
曾经的你——许巍
旅行的意义——陈绮贞
下辈子如果我还记得你——马郁
坐在巷口的那对男女——自然卷
爱与诚——古巨基
手放开——李圣杰
火——张惠妹
情歌——陈珊妮
想起——韩雪
栀子花开——何炅
美人鱼——林俊杰
零——柯有伦
Lydia ——FIR
好好恋爱——方力申，邓丽欣
白月光——张信哲
心中的日月——王力宏
听说——刘若英
他还是不懂——SHE
16号爱人——容祖儿
寓言——张韶涵
飞得更高——汪峰
爱情36计——蔡依林
我不是黄蓉——王蓉
你到底爱谁——刘嘉亮
2002年的第一场雪——刀郎
丁香花——唐磊
老鼠爱大米——杨臣刚
两只蝴蝶——庞龙
搁浅——周杰伦
有错望纠正[大笑]",818,31,1.0,positive
2018329284,範特西fantasy,04真的是华语乐坛最巅峰的事情了，七里香亚洲销量第二，打入世界销量前五十，华语乐坛唯一一次，我的地盘广告做到大江南北，王力宏发了他传唱度最高的专辑心中的日月，林俊杰的江南张韶涵的欧若拉在内地大热，飞儿乐队首专惊艳登场，蔡依林发了KTV神曲倒带，梁静茹发了热歌宁夏，陈老师发了唯一代表作旅行的意义，内地刀郎和杨臣刚以及庞龙在这年成为现象级的歌手，何炅凭着栀子花开拿了华语榜中榜最佳内地男歌手(港台最佳是周杰伦)。。。真真是最巅峰的一年,301,8,0.9999979636785109,positive
4636037880,bili_46214745,亚洲第一吧？,2,0,0.885235623627169,positive
4665447962,59395345805_bili,回复 @bili_46214745 :第一是任贤齐,2,0,0.1384138453044541,negative
4671530927,bili_46214745,回复 @59395345805_bili :我是说七里香那时的亚洲销量,0,0,0.1664415400619147,negative
4770217935,一个无聊的玩家,回复 @bili_46214745 :还是第二，第一是宇多田光,3,0,0.03365158724341,negative
4970227461,园崎法子っ,回复 @一个无聊的玩家 :熊光强啊,0,0,0.10080384123395392,negative
5388240444,Cyanray1,我想回到2004,0,0,0.567707660161936,neutral
107386848144,似水流年狂三,所以飞儿乐队首专是啥？又没说,0,0,0.3420104172956091,neutral
116217774848,静如林哈哈哈,04年居然没有《逍遥叹》和《一直很安静》，不科学,0,0,0.60826400144227,neutral
