rpid,name,content,like,rcount,sentiment_score,analysis_result
2045931114,看病挂儿科,"1不能说的秘密    周杰伦
2亲爱的那不是爱情   张韶涵         
3杀手   林俊杰
4日不落   蔡依林
5月牙湾   F.I.R
6专属天使   Tank
7会呼吸的痛   梁静茹
8逆光   孙燕姿
9中国话   SHE
10离开月球表面   五月天
11改变自己   王力宏
12无与伦比的美丽   苏打绿
13爱情转移   陈奕迅
14倔强   杨丞琳
15如果你也听说   张惠妹
16我不会唱歌   罗志祥
17那年夏天宁静的海   王心凌
18小小   容祖儿
19男人KTV   胡彦斌
20钟无艳   谢安琪
21私奔到月球   五月天陈绮贞
22你是我心内的一首歌   王力宏 Selina
23发现爱   林俊杰金莎
24黑糖秀  棒棒堂黑涩会美眉
25谢谢你的温柔   SHE飞轮海
26思念是一种病   张震岳蔡健雅
27晴天娃娃   江语晨
28酷爱   张敬轩
29玩酷   潘玮柏
30特务J   蔡依林
31梦里花   张韶涵
32给未来的自己   梁静茹
33最长的电影   周杰伦
34我们说好的   张靓颖
35湘南海鸥   南拳妈妈
36我怀念的   孙燕姿
37空白格   蔡健雅
38淘汰   陈奕迅
39想太多   李玖哲
40非你莫属   Tank
41我们的歌   王力宏
42最美的太阳   张杰
43爱死了昨天   李慧珍
44爱在记忆中找你   林峯
45痒   黄龄
46风吹麦浪   李健
47彩云之南   徐千雅
48最后一个夏天   金莎
49雨不停歇   萧贺硕
50断桥残雪   许嵩
51该死的温柔   马天宇
52有没有人告诉你   陈楚生
53外滩十八号   袁成杰戚薇
54青花瓷   周杰伦
55白狐   陈瑞
56天使的翅膀   安琥
57等一分钟   徐誉滕
58老人与海   海鸣威
59穷开心   花儿乐队
60自由飞翔   凤凰传奇",6603,120,1.0,positive
2046030048,陆黑尾,对不起！！我躺着点错了！！！我改回来了来得及吗呜呜呜呜呜,0,0,0.014157367995228265,negative
2046492898,看病挂儿科,回复 @陆黑尾 :？？？肿么鸟,0,0,0.8373847971443241,positive
2046610885,前奏控Errr,挤挤,0,0,0.2500000000000001,negative
2046907249,红线织红毯,前排出售瓜子花生八宝粥,0,0,0.053999523085260126,negative
2047468642,忘川河丶影子,前排挤挤[吃瓜],0,0,0.21270991843231468,negative
2047627459,稲叶姫子,我们小学做操跳的自由飞翔跳了六年,16,0,0.9871320502469815,positive
2047650388,看病挂儿科,回复 @骑车卖报 :我们的好像是什么秀出自己,1,0,0.8707659675279105,positive
2047654465,稲叶姫子,回复 @赫楼凝歌 :那个舞蹈是我们学校自己编的,0,0,0.9988301289597802,positive
2047988785,看病挂儿科,回复 @骑车卖报 :666我们学校自己编的都是交际舞[笑哭],0,0,0.9994585565865415,positive
2048043536,紫禁之滇,牛皮,0,0,0.7499999999999999,positive
2048152543,改名6币改不起,没记错的话思念是一种病是翻唱齐秦的吧,0,0,0.9358904048482999,positive
2048517144,看病挂儿科,回复 @改名6币改不起 :对啊，齐秦的版本好像90年代叭？,0,0,0.014153928057048515,negative
2048647831,丿灬七杀丶,你怎么怎么快,0,0,0.7164835164835165,positive
2048854110,陆黑尾,回复 @赫楼凝歌 :我不小心点到另一个大拇指朝下的……吓得我又点回来……不知道踩没踩到TAT,0,0,0.17461766341330232,negative
2048908723,改名6币改不起,回复 @赫楼凝歌 :年代我不知道，但是我最早听的就是齐秦唱的[doge],0,0,0.8759007073918488,positive
2049232226,翼xiaoc,现在为嘛这样的歌很少出了,1,0,0.8101213326629689,positive
2050009526,看病挂儿科,回复 @丿灬七杀丶 :听的歌比较多吧，一边听一边打[笑哭],0,0,0.7916127408994983,positive
2050145544,帅气可爱XXK,凤凰传奇有点出戏[微笑],5,0,0.9930161805362093,positive
2050922287,拾光的我们,来了来了,0,0,0.8333333333333333,positive
2052474365,菟子喵Official,阿破克烈,1,0,0.7783854000859194,positive
2052526400,滴个儿大,个人觉得，当时有些歌我是不喜欢的。,1,0,0.7751222914180261,positive
2056778283,Onesry,蒲公英的约定 退后排不上去？我不服,94,0,0.07841594236575233,negative
2057999864,充Q币吗伱,真巧 这里有些还在我歌单上 神烦抖音里给老歌加BGM的,1,0,0.06738078574224537,negative
2059319468,椿天麗棏湫天,"香烟爱上火柴            张政 2006
为什么相爱的人不能在一起                                     郑源2006-1-1
有一种爱叫放手        阿木 2007-5-1
蓝色土耳其                周传雄 2007-10-24",33,0,0.9924533420819528,positive
2064705286,给我来杯凉白开,哇⊙∀⊙！,1,0,0.5,neutral
2065787264,深与神的沈_,黑糖秀真的好老啊。。,2,0,0.6730462718722073,neutral
2067775759,Lieince,嗯,0,0,0.5262327818078083,neutral
