video_title,bullet_time,bullet_content,sentiment_score,analysis_result
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-11-13 22:35:24,因为老林重唱收录进她说了，所以这版是10年的新版,0.11950286107142882,negative
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-11-09 16:33:21,那年没看过海派甜心的都是一种遗憾！演技真的在线,0.8902304534601241,positive
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-11-07 11:03:14,希望 你是我的风景也都很好听,0.807139467874295,positive
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-11-05 19:18:40,带VV玩的都是好朋友,0.8619239274217492,positive
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-09-17 10:50:57,新贵妃醉酒当年最火,0.49084185158757176,neutral
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-09-10 19:25:52,你们仨过分了啊    开头一遍  结尾一遍,0.9851632097622669,positive
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-09-05 23:14:15,邓紫棋和李荣浩某种程度上都是通过歌手火起来的,0.9994931174965398,positive
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-08-22 03:26:30,八级大型连续剧,0.4758372245105892,neutral
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-08-16 20:50:03,稳定输出三巨头,0.6592070917954396,neutral
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-08-16 20:40:48,杨丞琳：我老公唱得真好,0.9935209985415635,positive
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-08-16 20:40:13,稳定输出三巨头,0.6592070917954396,neutral
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-08-12 05:07:50,网络三巨头时代开启,0.5962570551425278,neutral
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-08-12 05:00:17,不会唱歌的吕布不是一个好步惊云,0.8289616433517287,positive
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-07-30 01:25:59,md爷青回当场去世,0.3805253429494263,neutral
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-07-28 13:02:30,真正的三巨头,0.41336891252587116,neutral
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-07-22 18:57:45,单飞的田突然漂亮了一个量级,0.9600262794654353,positive
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-07-22 16:45:16,还得三巨头镇场,0.5609394978140535,neutral
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-07-20 00:18:14,我伦又开始丢失江山了,0.4126687420614472,neutral
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-07-18 20:23:53,全体起立,0.32649808098307553,neutral
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-07-18 00:15:21,三巨头出现了，排面来了,0.38815285456272464,neutral
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-07-18 00:13:27,说实话……场子还得是这几个人才能搭起来………,0.6599323137792724,neutral
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-07-02 09:24:20,超级核能预警！！！,0.20315863164339754,negative
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-06-27 15:51:15,凤凰传奇稳定补刀,0.9786382813514709,positive
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-06-26 04:56:35,这首歌当年被低估了,0.965847205574893,positive
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-06-20 17:54:51,我听闻，你始终一个人,0.8860009803701535,positive
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-06-20 17:54:26,雨纷纷，旧故里草木深,0.9501965407391706,positive
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-06-18 18:48:20,如果这就是爱情！！！！！,0.47541857687358613,neutral
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-06-18 18:24:25,神曲，最爱的粤语歌,0.966194555512041,positive
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-06-18 05:43:20,至少要见面上万次,0.7267014137879343,positive
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-06-15 15:35:16,前面的我也懂！曾经的德克士代言人,0.4211177306164712,neutral
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-06-15 15:34:32,我的海派甜心四杀来了,0.44767845850986676,neutral
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-06-08 16:58:57,轩仔春秋真的绝了,0.9735077352557288,positive
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-06-07 16:57:58,没改名之前叫伽蓝寺,0.7401009959166782,positive
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-06-04 21:27:52,歌名早已透露，《不单行》,0.9465502597208222,positive
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-05-28 15:21:28,她最有名的一首歌了,0.8923791988936963,positive
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-05-27 18:28:08,全体起立，灿始终一个人,0.4041978787818018,neutral
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-05-27 18:17:51,三巨头啊，没事了,0.35223396369401794,neutral
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-05-27 05:31:08,新的三巨头时代来了,0.8305328828963013,positive
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-05-26 18:13:29,我们仨哈哈哈哈,0.855948838728563,positive
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-05-26 18:08:11,声线逐渐普通的金沙,0.4737672181921908,neutral
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-05-26 14:06:03,还得是这几个人撑场子,0.6998150550525123,neutral
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-05-20 22:04:34,[ohhhhh四杀],0.4737672181921908,neutral
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-05-19 17:49:22,班主任手机响了,0.795244117727323,positive
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-05-17 10:59:31,我要做永远的赵高,0.9880405223449651,positive
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-05-14 23:08:56,因这首歌改变了看法,0.9638433089452284,positive
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-05-14 22:53:51,10年可能就剩三巨头了,0.28816315024847095,negative
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-05-14 19:57:29,哇，三巨头都出来了,0.43794203262312315,neutral
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-05-13 00:51:11,2010年开始，我对娱乐圈有的点陌生了,0.4970119223079862,neutral
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-05-08 18:39:42,曾毅：唉，时代变了！钱越来越难挣了,0.9210507451105185,positive
2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！,2022-05-08 00:48:51,vae——《庐州月》,0.622146699195925,neutral
