rpid,name,content,like,rcount,sentiment_score,analysis_result,bertlabel
2058874288,初五mizuki做了错饭,"进入最后的疯狂 
让我有些感慨。",3083.0,32.0,0.8979896873417533,positive,negative
2058963949,肥丹等于肥蛋,"寂寞暴走——飞轮海
背对背拥抱——林俊杰
如果我变成回忆——Tank 
情歌——梁静茹
于心有愧——陈奕迅
妥协——蔡依林
画沙——袁咏琳，周杰伦
锁住时间——SHE
说谎——林宥嘉
白白的——张韶涵
他夏了夏天——苏打绿
不爱我请闪开——萧亚轩
双人舞——潘玮柏
王妃——萧敬腾
下个路口见——李宇春
偏爱——张芸京
此生不换——青鸟飞鱼
忘记时间——胡歌
我爱他——丁当
失落沙洲——徐佳莹
我知道——By2
错过——梁咏琪
清明雨上——许嵩
笔墨登场——胡彦斌
寂寞先生——曹格
想你的夜——关喆
没那么简单——黄小琥
红色高跟鞋——蔡健雅
彩虹——张惠妹
爱似水仙——金海心
我很好那么你呢——王心凌
心墙——郭静
狮子座——曾轶可
我要的飞翔——许飞
关不上的窗——周传雄
空城——杨坤
何必在一起——张杰
暗恋——陶喆
心的距离——陈奕迅
第几个100天——林俊杰
荆棘里的花——FIR
没有如果——梁静茹
看的最远的地方——张韶涵
亲爱的——潘玮柏
AINY——邓紫棋
鱼——陈绮贞
会长大的幸福——Tank
越来越爱——飞轮海
有何不可——许嵩
兰花指——阿里郎
要抱抱——王蓉
娃娃脸——后弦
我的回忆不是我的——海鸣威，泳儿
心痛2009——欢子
哥只是个传说——陈旭
最炫民族风——凤凰传奇",2761.0,53.0,1.0,positive,negative
2059314408,小熊薄荷糖,还有十期就能听到鸡你太美，大碗宽面了[阴险],1155.0,27.0,0.2697092412038232,negative,neutral
2059212798,深坑四棵树,我认真回想了一下2009年，那时候家里已经买电脑了，刚开始流行宽屏显示器，用酷我音乐盒，用qq音乐，听周杰伦蔡依林林俊杰潘玮柏许嵩。突然有一天听到了straight through my heart，太好听了！然后我知道了后街男孩，又知道了westlife和林肯公园，接着就沉醉英文歌不能自拔了！,689.0,30.0,0.9995522207147334,positive,negative
2058945915,老实憨厚的眈眈,TFBOYS开启了一个新时代，流量明星的新时代,725.0,52.0,0.9500292128798968,positive,negative
2059458197,小姐姐吃果盘,"众所周知,唐人是个音乐公司[doge]",419.0,7.0,0.9217481582970222,positive,negative
2059535860,差生文具多Mark,"心墙，让当时还是高中生的我第一次知道了世界的残酷。
这首歌，是林俊杰作曲，姚若龙作词，为电视剧情和林贝芳温暖的声音量身打造的。
林贝芳18岁到福茂当练习生直到22岁，一直没机会发片，直到07年电视剧海豚爱上猫上线。唱了插曲心墙走红。
本以为可以发片，可是福茂高层以为林贝芳不如郭静长相甜美，09年把这首歌让郭静发了片。
从此林贝芳梦碎，一蹶不振。现在在各大软件搜索心墙榜首的都是郭静和林俊杰的版本。
可是在热度排名靠后的地方还是可以找到林贝芳的原唱，
林贝芳的心墙，温暖有力的声音略带沧桑，充满感情，是她练习生4年苦等的一首歌，倾尽了全部心血
郭静的心墙也很好听，但也仅仅是作为一个职业歌手演绎好一首歌罢了。",348.0,13.0,1.0,positive,negative
2060067299,抓抓熊爪手,"补充点
郎的诱惑-凤凰传奇、星月神话-金莎、爱情买卖-慕容晓晓、倾国倾城-熊汝霖&阿宝、春天里-汪峰、你瞒我瞒-陈柏宇、犯错-顾峰&斯琴高丽、我的好兄弟-高进&小沈阳、蜀绣-李宇春、男人就是累-陈玉建、朋友的酒-李晓杰、美了美了-小沈阳＆汤潮、庐州月-许嵩、别想她-高进、爱情错觉-王娅",320.0,25.0,1.0,positive,negative
2060600481,深坑四棵树,"个人认为这个标题没什么问题。什么叫华语乐坛，什么叫歌手？整体和部分要分清楚。也没人说现在没有好歌手，也不是一首好听的歌没有，比质量比整体呢？跟以前比不是滑坡吗？不需要一棍子打死但是需要认清问题。
刷刷现在的榜单，网络歌曲那么多，出个新的就把上次的顶没了，持续在热度上的歌有多少？某些歌到底是真热度还是粉丝刷的？09之后网络红歌越来越多，跟现在的情况很相似，好听吗？好听。但是跟以前比就是差，爆红的歌曲放在前几年能不能上榜都不好说。
唱出来一个故事和无病呻吟是有区别的，真实的歌唱技巧和录音棚以及调音师修改后的是有区别的，认真作词作曲和拿别人的改一改是有区别的。
我希望听到好听的歌，更希望一直听到高质量的好歌曲，我希望华语歌曲比国外的传唱度高，如果听众不去挑剔不去维护这个氛围，那才是没救了。",234.0,6.0,0.4942119393132065,neutral,negative
2084126342,动感光波哔哔哔い,那些年，连明明是个偶像的飞轮海都有些经典代表作跟现在的偶像不一样,142.0,2.0,0.9933729619236314,positive,negative
