rpid,name,content,like,rcount,sentiment_score,analysis_result,bertlabel
2220698779,柠檬乌龙酱,"课代表来了！
1.说好不哭-周杰伦/阿信
2.我们很好-林俊杰
3.蜂鸟-吴青峰
4.守护永恒的爱-孙燕姿
5.微光-梁静茹
6.我和我的祖国-王菲
7.引路的风筝-张韶涵
8.当你和心跳一起出现-萧亚轩
9.句号-邓紫棋
10.删拾-杨丞琳
11.麻雀-李荣浩
12.少女-林宥嘉
13.木偶人-薛之谦
14.你的答案-阿冗
15.芒种-赵方婧
16.我曾-隔壁老樊
17.你的酒馆对我打了烊-陈雪凝
18.写给黄淮-解忧邵帅
19.晚安-颜人中
20.去流浪-周笔畅
21.有种-孟美岐
22.哇-李宇春
23.深渊-谢霆锋/王嘉尔
24.爱上属于你的天空-FIR
25.一念一生-李健
26.我是如此相信-周杰伦
27.将故事写成我们-林俊杰
28.相信你的人-陈奕迅
29.只是不够爱-莫文蔚
30.我在原地等你-吴青峰
31.罗志祥-罗志祥
32.摩天动物园-邓紫棋
33.与火星的孩子对话-华晨宇
34.雨幕-许嵩
35.多想在平庸的生活拥抱你-隔壁老樊
36.绿色-陈雪凝
37.无名之辈-陈雪燃
38.归去来兮-花粥
39.大碗宽面-吴亦凡
40.野狼disco-宝石gem",1350,77,1.0,positive,negative
2221639689,落日迷茫,现在B站上的弹幕怎么回事，以前也没有这么差的氛围吧，明明有些歌是很好听的，只是自己抖音看多了而已产生疲劳了所以觉得难听。不听又没人强迫听，好像自己听的歌水平有多高大尚似的。[嫌弃][嫌弃],1687,102,0.0276013510117275,negative,negative
2220780683,弦曲献仙音_,有些歌真的不好听吗？只是因为某音里一直有人放他就不好听了吗？只是自己在抵触而已。,1066,108,0.1127061101846187,negative,negative
2221971249,无成败,弹幕评论各种踩网络口水歌 主要还是抖音 然后感觉自己很高尚 不喜欢可以不评论 真的很讽刺 我拿芒种这首歌来点评 宅舞区里评论发弹幕刷老婆跳的好的是你 歌曲区里发？？？的也是你 我真的想笑 很少发评论 只是个人觉得很讽刺 就是莫名其妙的有种优越感 可能这就是天龙人吧,515,45,0.8091047491841395,positive,positive
2220675698,一束大橘猫,我仿佛看到了这位年更up的未来[doge][doge],407,26,0.9836921087960128,positive,negative
2220843372,lonnen,吹爆雨幕！！嵩哥我爱你[喜欢],309,12,0.7895282172766056,positive,negative
2220823179,疯人院的小丑布雨yu,表白华晨宇，不过华晨宇的竟然是火娃(与火星的孩子对话)...我还以为是好想爱这个世界啊,518,29,0.8020652494902246,positive,negative
2225123278,Miracllle丶丶,"不得不说有些狗粉丝真的拉艺人的胯，都是什么东西啊，合着到你喜欢的歌手就一顿夸，不是你喜欢的就疯狂？伺候？替我问候一下你家人先。
我喜欢杰伦，也喜欢JJ，还有许嵩，他们仨是我的青春。Eason姿妈等等都是我高中之后开始喜欢上的歌手，现在我毕业了工作了，老樊，颜人中等一批歌手都是在网易云每日推荐里了解到的，这些歌我个人都挺喜欢的。
我就搞不懂了，你没听过说明你孤陋寡闻，什么时候你听没听过，变成一首哥好坏的衡量标准了？你又有什么资格来评价呢？生活中的你又花了多少时间沉浸在音乐中，又花了多少时间去了解音乐呢？
对这些人说一句，你配吗？你真的不配。",233,29,0.9999999999988088,positive,negative
2221733310,可爱吃人了,我觉得，如果你觉得歌不好的话，也没必要发口区，或者发？？？ 。它们能火一定是有很多人听的，口水歌在音乐市场也是很重要的啊，有些歌手还有人很大的进步空间啊。老歌手的就一定好？最后给葛格站街惹[doge]。,192,12,0.9212097509498052,positive,negative
2220681391,耳朵听了能怀孕,2019，可长歌，可醉饮，唯不可离去！,157,7,0.7208630084090123,positive,negative
2222337125,账号已注销,很多老歌手当年也是被一路骂上来的，现在不照样捧得很厉害。对新人宽容度高点吧。一代人有一代人的青春。初高中那会QQ音乐三巨头和一系列网络歌手被骂成什么样了，大家依旧很喜欢。我现在没空去发现各种音乐，抖音之于我就相当于当年的QQ音乐。在里面能火的都有它的可取之处，不接受新事物是变老的特征。希望大家不要变成部分父母当年那样，那新人和老人对比。充满年代优越感。,118,32,0.9999999983536324,positive,negative
