-----------1991------------
('侦缉', 0.00823499860900474)
('两首歌', 0.00823499860900474)
('白素贞', 0.00823499860900474)
('好歌', 0.00823499860900474)
('李宗盛', 0.00823499860900474)
('男歌手', 0.00823499860900474)
('海椒', 0.00823499860900474)
('辣妹', 0.00823499860900474)
('第一首歌', 0.00823499860900474)
('丝都', 0.00823499860900474)
-----------1992------------
('腊鸡', 0.010451637332330828)
('无间道', 0.010451637332330828)
('那英', 0.010451637332330828)
('三版', 0.010451637332330828)
('好歌', 0.010451637332330828)
('小薇', 0.010451637332330828)
('教导处', 0.010451637332330828)
('李宗盛', 0.010451637332330828)
('潇洒走', 0.010451637332330828)
('吴宗宪', 0.010451637332330828)
-----------1993------------
('家庭影院', 0.009886683963015648)
('好酷', 0.009886683963015648)
('卖卖', 0.009886683963015648)
('强推', 0.009886683963015648)
('文哥', 0.009886683963015648)
('西边雨', 0.009886683963015648)
('好歌', 0.009886683963015648)
('千纸鹤', 0.009886683963015648)
('李宗盛', 0.009886683963015648)
('阿嚏', 0.009886683963015648)
-----------1994------------
('绿帽', 0.012301484647787611)
('那英', 0.012301484647787611)
('郑秀文', 0.012301484647787611)
('好歌', 0.012301484647787611)
('千纸鹤', 0.012301484647787611)
('宋大哥', 0.012301484647787611)
('李宗盛', 0.012301484647787611)
('男歌手', 0.012301484647787611)
('忘情水', 0.012301484647787611)
('第一首歌', 0.012301484647787611)
-----------1995------------
('程蝶衣', 0.011993682184641934)
('郑中基', 0.011993682184641934)
('郑秀文', 0.011993682184641934)
('扇子舞', 0.011993682184641934)
('好歌', 0.011993682184641934)
('旱冰场', 0.011993682184641934)
('第一首歌', 0.011993682184641934)
('许志安', 0.011993682184641934)
('集齐', 0.011993682184641934)
('李圣杰', 0.011993682184641934)
-----------1996------------
('青年歌手', 0.010859904415625)
('郑中基', 0.010859904415625)
('黑芝麻糊', 0.010859904415625)
('小厨', 0.010859904415625)
('常盘贵子', 0.010859904415625)
('郑秀文', 0.010859904415625)
('好歌', 0.010859904415625)
('顺子', 0.010859904415625)
('男歌手', 0.010859904415625)
('滑旱冰', 0.010859904415625)
-----------1997------------
('好酷', 0.013289366780114723)
('那英', 0.013289366780114723)
('星际争霸', 0.013289366780114723)
('唱游', 0.013289366780114723)
('好歌', 0.013289366780114723)
('惠妹', 0.013289366780114723)
('文青', 0.013289366780114723)
('王力宏', 0.013289366780114723)
('首出', 0.013289366780114723)
('吐过', 0.013289366780114723)
-----------1998------------
('猪儿', 0.006304162200453515)
('地下铁', 0.006304162200453515)
('腊鸡', 0.006304162200453515)
('郑中基', 0.006304162200453515)
('绿帽', 0.006304162200453515)
('那英', 0.006304162200453515)
('出道时', 0.006304162200453515)
('郑秀文', 0.006304162200453515)
('猜猜猜', 0.006304162200453515)
('好歌', 0.006304162200453515)
-----------1999------------
('新天', 0.009896222326171529)
('小表哥', 0.006145304001768347)
('雨纷飞', 0.006145304001768347)
('海苔', 0.006145304001768347)
('夭寿', 0.006145304001768347)
('戴假发', 0.006145304001768347)
('二十周年', 0.006145304001768347)
('那英', 0.006145304001768347)
('人与狗', 0.006145304001768347)
('常盘贵子', 0.006145304001768347)
-----------2000------------
('歌手名', 0.005630084103685703)
('对味', 0.005630084103685703)
('遗珠', 0.005630084103685703)
('那英', 0.005630084103685703)
('现场版', 0.005630084103685703)
('本多', 0.005630084103685703)
